Symbol,Company Name,Industry,ISIN
360ONE,360 ONE WAM Ltd.,Financial Services,INE466L01038
3MINDIA,3M India Ltd.,Diversified,INE470A01017
ABB,ABB India Ltd.,Capital Goods,INE117A01022
ACC,ACC Ltd.,Construction Materials,INE012A01025
ACMESOLAR,ACME Solar Holdings Ltd.,Power,INE622W01025
AIAENG,AIA Engineering Ltd.,Capital Goods,INE212H01026
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods,INE702C01027
AUBANK,AU Small Finance Bank Ltd.,Financial Services,INE949L01017
AWL,AWL Agri Business Ltd.,Fast Moving Consumer Goods,INE699H01024
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,INE883F01010
AARTIIND,Aarti Industries Ltd.,Chemicals,INE769A01020
AAVAS,Aavas Financiers Ltd.,Financial Services,INE216P01012
ABBOTINDIA,Abbott India Ltd.,Healthcare,INE358A01014
ACE,Action Construction Equipment Ltd.,Capital Goods,INE731H01025
ADANIENSOL,Adani Energy Solutions Ltd.,Power,INE931S01010
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,INE423A01024
ADANIGREEN,Adani Green Energy Ltd.,Power,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,INE742F01042
ADANIPOWER,Adani Power Ltd.,Power,INE814H01029
